variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p1,DB2_B,105_3.tif,59.0,,58.0,,-1.0
minus_p2,DB2_B,105_3.tif,59.0,,64.0,,5.0
minus_p6,DB2_B,105_3.tif,59.0,,68.0,,9.0
minus_p1,DB2_B,105_4.tif,56.0,,51.0,,-5.0
minus_p2,DB2_B,105_4.tif,56.0,,55.0,,-1.0
minus_p6,DB2_B,105_4.tif,56.0,,60.0,,4.0
minus_p1,DB2_B,105_5.tif,31.0,,39.0,,8.0
minus_p2,DB2_B,105_5.tif,31.0,,27.0,,-4.0
minus_p6,DB2_B,105_5.tif,31.0,,37.0,,6.0
minus_p1,DB2_B,105_6.tif,52.0,,55.0,,3.0
minus_p2,DB2_B,105_6.tif,52.0,,61.0,,9.0
minus_p6,DB2_B,105_6.tif,52.0,,70.0,,18.0
minus_p1,DB2_B,105_7.tif,32.0,,59.0,,27.0
minus_p2,DB2_B,105_7.tif,32.0,,53.0,,21.0
minus_p6,DB2_B,105_7.tif,32.0,,61.0,,29.0
minus_p1,DB2_B,105_8.tif,38.0,,56.0,,18.0
minus_p2,DB2_B,105_8.tif,38.0,,58.0,,20.0
minus_p6,DB2_B,105_8.tif,38.0,,59.0,,21.0
minus_p1,DB2_B,106_1.tif,44.0,,49.0,,5.0
minus_p2,DB2_B,106_1.tif,44.0,,72.0,,28.0
minus_p6,DB2_B,106_1.tif,44.0,,69.0,,25.0
minus_p1,DB2_B,106_2.tif,68.0,,60.0,,-8.0
minus_p2,DB2_B,106_2.tif,68.0,,65.0,,-3.0
minus_p6,DB2_B,106_2.tif,68.0,,79.0,,11.0
minus_p1,DB2_B,106_3.tif,66.0,,61.0,,-5.0
minus_p2,DB2_B,106_3.tif,66.0,,67.0,,1.0
minus_p6,DB2_B,106_3.tif,66.0,,68.0,,2.0
minus_p1,DB2_B,106_4.tif,52.0,,56.0,,4.0
minus_p2,DB2_B,106_4.tif,52.0,,63.0,,11.0
minus_p6,DB2_B,106_4.tif,52.0,,69.0,,17.0
minus_p1,DB2_B,106_5.tif,55.0,,67.0,,12.0
minus_p2,DB2_B,106_5.tif,55.0,,63.0,,8.0
minus_p6,DB2_B,106_5.tif,55.0,,61.0,,6.0
minus_p1,DB2_B,106_6.tif,43.0,,60.0,,17.0
minus_p2,DB2_B,106_6.tif,43.0,,68.0,,25.0
minus_p6,DB2_B,106_6.tif,43.0,,55.0,,12.0
minus_p1,DB2_B,106_7.tif,59.0,,45.0,,-14.0
minus_p2,DB2_B,106_7.tif,59.0,,48.0,,-11.0
minus_p6,DB2_B,106_7.tif,59.0,,50.0,,-9.0
minus_p1,DB2_B,106_8.tif,50.0,,65.0,,15.0
minus_p2,DB2_B,106_8.tif,50.0,,69.0,,19.0
minus_p6,DB2_B,106_8.tif,50.0,,61.0,,11.0
minus_p1,DB2_B,107_1.tif,36.0,,60.0,,24.0
minus_p2,DB2_B,107_1.tif,36.0,,69.0,,33.0
minus_p6,DB2_B,107_1.tif,36.0,,62.0,,26.0
minus_p1,DB2_B,107_2.tif,64.0,,78.0,,14.0
minus_p2,DB2_B,107_2.tif,64.0,,77.0,,13.0
minus_p6,DB2_B,107_2.tif,64.0,,79.0,,15.0
minus_p1,DB2_B,107_3.tif,74.0,,76.0,,2.0
minus_p2,DB2_B,107_3.tif,74.0,,78.0,,4.0
minus_p6,DB2_B,107_3.tif,74.0,,84.0,,10.0
minus_p1,DB2_B,107_4.tif,64.0,,73.0,,9.0
minus_p2,DB2_B,107_4.tif,64.0,,79.0,,15.0
minus_p6,DB2_B,107_4.tif,64.0,,89.0,,25.0
minus_p1,DB2_B,107_5.tif,34.0,,53.0,,19.0
minus_p2,DB2_B,107_5.tif,34.0,,62.0,,28.0
minus_p6,DB2_B,107_5.tif,34.0,,62.0,,28.0
minus_p1,DB2_B,107_6.tif,33.0,,46.0,,13.0
minus_p2,DB2_B,107_6.tif,33.0,,53.0,,20.0
minus_p6,DB2_B,107_6.tif,33.0,,52.0,,19.0
minus_p1,DB2_B,107_7.tif,53.0,,65.0,,12.0
minus_p2,DB2_B,107_7.tif,53.0,,77.0,,24.0
minus_p6,DB2_B,107_7.tif,53.0,,68.0,,15.0
minus_p1,DB2_B,107_8.tif,66.0,,64.0,,-2.0
minus_p2,DB2_B,107_8.tif,66.0,,63.0,,-3.0
minus_p6,DB2_B,107_8.tif,66.0,,64.0,,-2.0
